epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,164.722,0.91544,0.71111,1,0.67788,0.000471617,0.000471617,0.000471617
2,329.055,0.4618,0.75111,1,0.61132,0.000932309,0.000932309,0.000932309
3,477.78,0.33901,0.82222,1,0.45908,0.00137728,0.00137728,0.00137728
4,626.626,0.37677,0.77111,1,0.78841,0.00135826,0.00135826,0.00135826
5,775.469,0.3257,0.80667,1,0.59305,0.00133469,0.00133469,0.00133469
6,924.161,0.28504,0.83778,1,0.53572,0.00131111,0.00131111,0.00131111
7,1077.38,0.2414,0.85111,1,0.44136,0.00128753,0.00128753,0.00128753
8,1236.37,0.19407,0.85333,1,0.42915,0.00126395,0.00126395,0.00126395
9,1413.27,0.20543,0.84444,1,0.54169,0.00124037,0.00124037,0.00124037
10,1563.44,0.18905,0.85111,1,0.51336,0.00121679,0.00121679,0.00121679
11,1712.13,0.15557,0.86222,1,0.45891,0.00119322,0.00119322,0.00119322
12,1865.81,0.1402,0.83111,1,0.59866,0.00116964,0.00116964,0.00116964
13,2023.02,0.14004,0.86,1,0.57325,0.00114606,0.00114606,0.00114606
14,2183.68,0.09231,0.87111,1,0.55012,0.00112248,0.00112248,0.00112248
15,2357.04,0.11365,0.8,1,0.72653,0.0010989,0.0010989,0.0010989
16,2519.71,0.1246,0.85333,1,0.55209,0.00107532,0.00107532,0.00107532
17,2682.29,0.12184,0.86444,1,0.47755,0.00105174,0.00105174,0.00105174
18,2830.76,0.11999,0.86,1,0.50019,0.00102817,0.00102817,0.00102817
19,2979.08,0.09999,0.87556,1,0.54611,0.00100459,0.00100459,0.00100459
20,3127.24,0.10053,0.87111,1,0.44289,0.000981008,0.000981008,0.000981008
21,3275.43,0.10507,0.82889,1,0.58324,0.00095743,0.00095743,0.00095743
22,3423.68,0.08744,0.85333,1,0.64393,0.000933851,0.000933851,0.000933851
23,3572.42,0.10473,0.86889,1,0.5028,0.000910273,0.000910273,0.000910273
24,3721.07,0.09181,0.86222,1,0.49087,0.000886694,0.000886694,0.000886694
25,3869.61,0.08572,0.83556,1,1.08843,0.000863116,0.000863116,0.000863116
26,4017.94,0.0735,0.86667,1,0.42548,0.000839537,0.000839537,0.000839537
27,4166.08,0.06222,0.88222,1,0.47975,0.000815959,0.000815959,0.000815959
28,4314.72,0.05951,0.87778,1,0.46586,0.00079238,0.00079238,0.00079238
29,4462.76,0.07533,0.84222,1,1.17523,0.000768802,0.000768802,0.000768802
30,4611.05,0.07588,0.87333,1,0.50055,0.000745223,0.000745223,0.000745223
31,4759.83,0.08073,0.86,1,0.69653,0.000721645,0.000721645,0.000721645
32,4908.32,0.06645,0.86444,1,0.56674,0.000698066,0.000698066,0.000698066
33,5056.83,0.09195,0.86222,1,0.58934,0.000674488,0.000674488,0.000674488
34,5205.98,0.065,0.86222,1,0.56049,0.000650909,0.000650909,0.000650909
35,5358.02,0.05339,0.86222,1,0.66033,0.000627331,0.000627331,0.000627331
36,5510.72,0.04442,0.85778,1,0.55539,0.000603752,0.000603752,0.000603752
37,5663.58,0.06191,0.86667,1,0.68042,0.000580174,0.000580174,0.000580174
38,5817.43,0.05417,0.86667,1,0.47481,0.000556595,0.000556595,0.000556595
39,5972.58,0.04425,0.86222,1,0.58331,0.000533017,0.000533017,0.000533017
40,6128.48,0.0461,0.86667,1,0.62001,0.000509438,0.000509438,0.000509438
41,6284.76,0.05213,0.85111,1,0.66631,0.00048586,0.00048586,0.00048586
42,6441.15,0.06394,0.86889,1,0.73187,0.000462281,0.000462281,0.000462281
43,6595.83,0.04323,0.85556,1,0.79951,0.000438703,0.000438703,0.000438703
44,6751.4,0.0417,0.85778,1,0.72671,0.000415124,0.000415124,0.000415124
45,6902.85,0.03002,0.86667,1,0.54051,0.000391546,0.000391546,0.000391546
46,7051.97,0.04312,0.87333,1,0.50288,0.000367967,0.000367967,0.000367967
47,7200.84,0.04521,0.86222,1,0.70695,0.000344389,0.000344389,0.000344389
48,7350.16,0.0294,0.85778,1,0.75099,0.00032081,0.00032081,0.00032081
49,7499.44,0.0313,0.84889,1,0.77175,0.000297232,0.000297232,0.000297232
50,7648.45,0.02797,0.84444,1,0.72467,0.000273654,0.000273654,0.000273654
51,7797.56,0.03598,0.85333,1,0.68398,0.000250075,0.000250075,0.000250075
52,7946.59,0.02812,0.85556,1,0.70172,0.000226497,0.000226497,0.000226497
53,8095.28,0.02961,0.85556,1,0.74863,0.000202918,0.000202918,0.000202918
54,8244.56,0.02755,0.86889,1,0.62818,0.00017934,0.00017934,0.00017934
55,8393.82,0.02599,0.86222,1,0.60928,0.000155761,0.000155761,0.000155761
56,8542.68,0.02485,0.86444,1,0.61999,0.000132183,0.000132183,0.000132183
57,8692.83,0.02751,0.86444,1,0.65675,0.000108604,0.000108604,0.000108604
58,8841.96,0.02589,0.87556,1,0.57592,8.50255e-05,8.50255e-05,8.50255e-05
59,8990.88,0.02797,0.86667,1,0.64714,6.1447e-05,6.1447e-05,6.1447e-05
60,9140.12,0.02281,0.87333,1,0.59332,3.78685e-05,3.78685e-05,3.78685e-05
