epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,304.879,0.73377,0.83769,1,0.38447,0.000473975,0.000473975,0.000473975
2,610.713,0.28506,0.88126,1,0.28041,0.000934628,0.000934628,0.000934628
3,911.954,0.24154,0.85512,1,0.32598,0.00137956,0.00137956,0.00137956
4,1214.81,0.21936,0.8976,1,0.2816,0.00135826,0.00135826,0.00135826
5,1508.7,0.17781,0.90305,1,0.31019,0.00133469,0.00133469,0.00133469
6,1804.51,0.16734,0.93028,1,0.21041,0.00131111,0.00131111,0.00131111
7,2102.73,0.1496,0.92593,1,0.21117,0.00128753,0.00128753,0.00128753
8,2400.99,0.1286,0.96405,1,0.11745,0.00126395,0.00126395,0.00126395
9,2701.02,0.11699,0.95098,1,0.15814,0.00124037,0.00124037,0.00124037
10,3002.87,0.09311,0.95643,1,0.13661,0.00121679,0.00121679,0.00121679
11,3303.89,0.09118,0.95425,1,0.13846,0.00119322,0.00119322,0.00119322
12,3600.09,0.08553,0.96732,1,0.1057,0.00116964,0.00116964,0.00116964
13,3894.1,0.07731,0.95098,1,0.13655,0.00114606,0.00114606,0.00114606
14,4193.59,0.09821,0.9488,1,0.18452,0.00112248,0.00112248,0.00112248
15,4489.54,0.06862,0.97059,1,0.10655,0.0010989,0.0010989,0.0010989
16,4783.52,0.05807,0.96187,1,0.12622,0.00107532,0.00107532,0.00107532
17,5088.57,0.06249,0.95643,1,0.13648,0.00105174,0.00105174,0.00105174
18,5384.04,0.0677,0.97386,1,0.08725,0.00102817,0.00102817,0.00102817
19,5685.76,0.07204,0.95643,1,0.12431,0.00100459,0.00100459,0.00100459
20,5987.85,0.05611,0.96405,1,0.14683,0.000981008,0.000981008,0.000981008
21,6268.85,0.06282,0.9488,1,0.17504,0.00095743,0.00095743,0.00095743
22,6548.47,0.0664,0.9695,1,0.08819,0.000933851,0.000933851,0.000933851
23,6827.58,0.06106,0.98584,1,0.05538,0.000910273,0.000910273,0.000910273
24,7106.76,0.05014,0.96623,1,0.08105,0.000886694,0.000886694,0.000886694
25,7387.15,0.04956,0.96841,1,0.10993,0.000863116,0.000863116,0.000863116
26,7667.09,0.04844,0.98475,1,0.06542,0.000839537,0.000839537,0.000839537
27,7946.54,0.05302,0.97277,1,0.07367,0.000815959,0.000815959,0.000815959
28,8226.27,0.05528,0.95969,1,0.13035,0.00079238,0.00079238,0.00079238
29,8506.75,0.0432,0.96405,1,0.12608,0.000768802,0.000768802,0.000768802
30,8787.33,0.04544,0.95098,1,0.13805,0.000745223,0.000745223,0.000745223
31,9067.18,0.03769,0.95425,1,0.133,0.000721645,0.000721645,0.000721645
32,9347.26,0.0393,0.96623,1,0.09909,0.000698066,0.000698066,0.000698066
33,9627.77,0.03514,0.95752,1,0.15011,0.000674488,0.000674488,0.000674488
34,9906.97,0.0374,0.96078,1,0.14528,0.000650909,0.000650909,0.000650909
35,10185.1,0.03219,0.96296,1,0.1493,0.000627331,0.000627331,0.000627331
36,10463.2,0.02503,0.96514,1,0.12159,0.000603752,0.000603752,0.000603752
37,10741.9,0.02436,0.96841,1,0.097,0.000580174,0.000580174,0.000580174
38,11021.2,0.02973,0.9793,1,0.0716,0.000556595,0.000556595,0.000556595
39,11301.3,0.03307,0.97495,1,0.08287,0.000533017,0.000533017,0.000533017
40,11582.5,0.02343,0.96514,1,0.10222,0.000509438,0.000509438,0.000509438
41,11863.9,0.02776,0.96623,1,0.15158,0.00048586,0.00048586,0.00048586
42,12143.7,0.02558,0.9793,1,0.07655,0.000462281,0.000462281,0.000462281
43,12423.2,0.01685,0.98366,1,0.06913,0.000438703,0.000438703,0.000438703
44,12704.3,0.02604,0.9695,1,0.09924,0.000415124,0.000415124,0.000415124
45,12984.2,0.02278,0.96841,1,0.10954,0.000391546,0.000391546,0.000391546
46,13268.3,0.0207,0.96296,1,0.14168,0.000367967,0.000367967,0.000367967
47,13550.2,0.02888,0.97386,1,0.10705,0.000344389,0.000344389,0.000344389
48,13831.5,0.01932,0.96623,1,0.15055,0.00032081,0.00032081,0.00032081
49,14112.8,0.01689,0.97386,1,0.086,0.000297232,0.000297232,0.000297232
50,14394.3,0.01146,0.97059,1,0.08851,0.000273654,0.000273654,0.000273654
51,14675.4,0.01931,0.97386,1,0.08575,0.000250075,0.000250075,0.000250075
52,14956.5,0.01285,0.96514,1,0.11365,0.000226497,0.000226497,0.000226497
53,15238.1,0.01655,0.97386,1,0.08295,0.000202918,0.000202918,0.000202918
54,15519.8,0.01669,0.9695,1,0.09036,0.00017934,0.00017934,0.00017934
55,15809,0.01374,0.96514,1,0.10245,0.000155761,0.000155761,0.000155761
56,16091.6,0.01536,0.9695,1,0.10244,0.000132183,0.000132183,0.000132183
57,16374.5,0.0119,0.9695,1,0.10275,0.000108604,0.000108604,0.000108604
58,16656.3,0.01121,0.96841,1,0.092,8.50255e-05,8.50255e-05,8.50255e-05
59,16937.7,0.01304,0.9695,1,0.08493,6.1447e-05,6.1447e-05,6.1447e-05
60,17219.8,0.01338,0.97168,1,0.08909,3.78685e-05,3.78685e-05,3.78685e-05
