epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,86.2611,0.92613,0.66222,1,0.63678,0.000466993,0.000466993,0.000466993
2,169.769,0.50241,0.73333,1,0.4981,0.000924649,0.000924649,0.000924649
3,247.052,0.2683,0.83556,1,0.79192,0.00136344,0.00136344,0.00136344
4,324.581,0.31641,0.77333,1,0.932,0.00134412,0.00134412,0.00134412
5,403.337,0.35137,0.74667,1,0.62661,0.00131582,0.00131582,0.00131582
6,481.158,0.24913,0.84444,1,0.35614,0.00128753,0.00128753,0.00128753
7,559.922,0.2359,0.84,1,0.62438,0.00125923,0.00125923,0.00125923
8,644.328,0.19838,0.88889,1,0.28388,0.00123094,0.00123094,0.00123094
9,721.961,0.1823,0.82222,1,0.7908,0.00120265,0.00120265,0.00120265
10,800.205,0.19545,0.88889,1,0.36884,0.00117435,0.00117435,0.00117435
11,882.726,0.18576,0.84889,1,0.38863,0.00114606,0.00114606,0.00114606
12,962.73,0.16958,0.83111,1,0.40309,0.00111776,0.00111776,0.00111776
13,1040.7,0.11346,0.83111,1,0.56569,0.00108947,0.00108947,0.00108947
14,1118.71,0.15224,0.84,1,0.58096,0.00106118,0.00106118,0.00106118
15,1196.59,0.1308,0.85778,1,0.34557,0.00103288,0.00103288,0.00103288
16,1275.25,0.08892,0.84,1,1.11303,0.00100459,0.00100459,0.00100459
17,1353.29,0.09079,0.76444,1,0.90775,0.000976293,0.000976293,0.000976293
18,1431.03,0.09929,0.83111,1,0.83071,0.000947999,0.000947999,0.000947999
19,1511.48,0.11517,0.86222,1,0.98148,0.000919704,0.000919704,0.000919704
20,1589.5,0.06843,0.84444,1,0.57143,0.00089141,0.00089141,0.00089141
21,1667.22,0.10143,0.84444,1,0.90094,0.000863116,0.000863116,0.000863116
22,1746.42,0.10549,0.87111,1,1.41745,0.000834822,0.000834822,0.000834822
23,1824.95,0.09095,0.84889,1,0.69465,0.000806528,0.000806528,0.000806528
24,1904.94,0.09541,0.85333,1,0.69688,0.000778233,0.000778233,0.000778233
25,1986.93,0.08605,0.83556,1,0.76389,0.000749939,0.000749939,0.000749939
26,2070.26,0.07215,0.85333,1,0.5422,0.000721645,0.000721645,0.000721645
27,2155.87,0.05911,0.82667,1,0.67019,0.000693351,0.000693351,0.000693351
28,2233.61,0.05486,0.84,1,0.75153,0.000665057,0.000665057,0.000665057
29,2311.58,0.07332,0.81778,1,1.64958,0.000636762,0.000636762,0.000636762
30,2390.71,0.07591,0.84444,1,0.52626,0.000608468,0.000608468,0.000608468
31,2469.18,0.10339,0.88,1,0.41105,0.000580174,0.000580174,0.000580174
32,2546.92,0.08962,0.82667,1,0.60928,0.00055188,0.00055188,0.00055188
33,2624.56,0.07895,0.82667,1,1.08524,0.000523586,0.000523586,0.000523586
34,2702.87,0.0559,0.83556,1,0.879,0.000495291,0.000495291,0.000495291
35,2781.22,0.05142,0.84444,1,0.62969,0.000466997,0.000466997,0.000466997
36,2860.27,0.06051,0.84444,1,1.25164,0.000438703,0.000438703,0.000438703
37,2938.66,0.07702,0.85778,1,0.49138,0.000410409,0.000410409,0.000410409
38,3017.01,0.12063,0.84889,1,0.85047,0.000382115,0.000382115,0.000382115
39,3094.58,0.04036,0.85333,1,0.89757,0.00035382,0.00035382,0.00035382
40,3173.35,0.05148,0.83556,1,0.9546,0.000325526,0.000325526,0.000325526
41,3250.99,0.04849,0.83556,1,0.82522,0.000297232,0.000297232,0.000297232
42,3330.18,0.04479,0.84444,1,0.67072,0.000268938,0.000268938,0.000268938
43,3408.48,0.03008,0.84444,1,0.66356,0.000240644,0.000240644,0.000240644
44,3486.18,0.03418,0.85333,1,0.66562,0.000212349,0.000212349,0.000212349
45,3563.88,0.03765,0.85333,1,0.67553,0.000184055,0.000184055,0.000184055
46,3641.35,0.03554,0.86222,1,0.54017,0.000155761,0.000155761,0.000155761
47,3719.92,0.03768,0.85778,1,0.51559,0.000127467,0.000127467,0.000127467
48,3797.99,0.03453,0.86222,1,0.59595,9.91726e-05,9.91726e-05,9.91726e-05
49,3876.34,0.03744,0.86667,1,0.56642,7.08784e-05,7.08784e-05,7.08784e-05
50,3953.6,0.04328,0.86222,1,0.55924,4.25842e-05,4.25842e-05,4.25842e-05
