epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,86.6903,0.34364,0.90667,1,0.21846,0.000468891,0.000468891,0.000468891
2,172.749,0.17471,0.92,1,0.20305,0.00092183,0.00092183,0.00092183
3,258.671,0.15505,0.92,1,0.73025,0.00135119,0.00135119,0.00135119
4,344.79,0.21055,0.83111,1,0.60155,0.0013229,0.0013229,0.0013229
5,430.716,0.11982,0.89333,1,0.36267,0.00128753,0.00128753,0.00128753
6,516.337,0.1448,0.96444,1,0.10371,0.00125216,0.00125216,0.00125216
7,601.987,0.14077,0.91556,1,0.1802,0.00121679,0.00121679,0.00121679
8,687.366,0.16057,0.90222,1,0.34735,0.00118143,0.00118143,0.00118143
9,773.135,0.1197,0.94667,1,0.11174,0.00114606,0.00114606,0.00114606
10,858.95,0.12155,0.94667,1,0.178,0.00111069,0.00111069,0.00111069
11,944.695,0.08061,0.96444,1,0.10187,0.00107532,0.00107532,0.00107532
12,1030.21,0.08198,0.92444,1,0.19308,0.00103995,0.00103995,0.00103995
13,1115.67,0.07674,0.92889,1,0.21913,0.00100459,0.00100459,0.00100459
14,1201.5,0.08343,0.92444,1,0.2786,0.000969219,0.000969219,0.000969219
15,1287.04,0.08537,0.89333,1,0.32017,0.000933851,0.000933851,0.000933851
16,1372.4,0.10201,0.92444,1,0.19906,0.000898484,0.000898484,0.000898484
17,1457.96,0.08461,0.93778,1,0.1712,0.000863116,0.000863116,0.000863116
18,1543.39,0.05193,0.93778,1,0.17049,0.000827748,0.000827748,0.000827748
19,1629.18,0.04459,0.93333,1,0.1741,0.00079238,0.00079238,0.00079238
20,1714.67,0.04308,0.95111,1,0.16782,0.000757013,0.000757013,0.000757013
21,1799.9,0.04625,0.93333,1,0.26062,0.000721645,0.000721645,0.000721645
22,1885.74,0.05547,0.93778,1,1.01969,0.000686277,0.000686277,0.000686277
23,1971.2,0.04477,0.94667,1,0.14382,0.000650909,0.000650909,0.000650909
24,2056.62,0.06479,0.94667,1,0.1317,0.000615542,0.000615542,0.000615542
25,2142.28,0.05516,0.93333,1,0.22171,0.000580174,0.000580174,0.000580174
26,2228.36,0.04222,0.94222,1,0.18395,0.000544806,0.000544806,0.000544806
27,2314.01,0.04166,0.93778,1,0.23209,0.000509438,0.000509438,0.000509438
28,2399.34,0.02945,0.93333,1,0.24414,0.000474071,0.000474071,0.000474071
29,2484.9,0.0436,0.93778,1,1.14474,0.000438703,0.000438703,0.000438703
30,2570.49,0.0323,0.92889,1,0.23661,0.000403335,0.000403335,0.000403335
31,2656.16,0.02404,0.94222,1,0.19723,0.000367967,0.000367967,0.000367967
32,2741.58,0.0431,0.93778,1,0.17884,0.0003326,0.0003326,0.0003326
33,2827.42,0.03111,0.94667,1,0.17263,0.000297232,0.000297232,0.000297232
34,2913.18,0.02172,0.94667,1,0.17253,0.000261864,0.000261864,0.000261864
35,2998.77,0.02612,0.94222,1,0.16012,0.000226497,0.000226497,0.000226497
36,3084.67,0.02585,0.93778,1,0.17977,0.000191129,0.000191129,0.000191129
37,3170.35,0.0229,0.94667,1,0.17858,0.000155761,0.000155761,0.000155761
38,3256.1,0.03062,0.94667,1,0.15859,0.000120393,0.000120393,0.000120393
39,3341.43,0.01482,0.94667,1,0.15057,8.50255e-05,8.50255e-05,8.50255e-05
40,3426.97,0.02033,0.94222,1,0.16639,4.96578e-05,4.96578e-05,4.96578e-05
