epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.071,0.76466,1.96326,1.10825,0.87305,0.81407,0.94667,0.84482,0.47385,2.04903,0.95286,0.000330033,0.000330033,0.000330033
2,592.736,0.69083,0.96417,1.04616,0.9303,0.91606,0.96834,0.84875,0.55208,1.27074,0.99602,0.000656799,0.000656799,0.000656799
3,881.394,0.708,0.90621,1.06283,0.75817,0.75625,0.77743,0.68103,0.5361,1.76261,0.99983,0.000976965,0.000976965,0.000976965
4,1170.29,0.69034,0.80033,1.04938,0.89354,0.87267,0.9685,0.87194,0.50873,0.9418,0.9778,0.0009703,0.0009703,0.0009703
5,1459.81,0.65902,0.70586,1.03681,0.91101,0.92946,0.97684,0.83901,0.57143,0.85302,1.03061,0.0009604,0.0009604,0.0009604
6,1747.79,0.6566,0.62221,1.03374,0.92599,0.95915,0.9889,0.87187,0.53634,0.64076,0.97867,0.0009505,0.0009505,0.0009505
7,2035.3,0.65002,0.57255,1.027,0.98961,0.96245,0.99098,0.89635,0.48426,0.53195,0.95902,0.0009406,0.0009406,0.0009406
8,2321.61,0.61311,0.51305,1.0098,0.9345,0.93233,0.96352,0.86726,0.49533,0.56239,0.96201,0.0009307,0.0009307,0.0009307
9,2609.31,0.63494,0.51525,1.02219,0.98527,0.9739,0.98856,0.88194,0.52978,0.47436,0.97373,0.0009208,0.0009208,0.0009208
10,2897.25,0.60641,0.4826,1.00491,0.98541,0.97189,0.98952,0.90514,0.45155,0.41997,0.93588,0.0009109,0.0009109,0.0009109
11,3185.71,0.60304,0.44149,0.99451,0.98379,0.95533,0.98732,0.90102,0.47354,0.39137,0.95011,0.000901,0.000901,0.000901
12,3473.83,0.60407,0.42893,1.00046,0.95557,0.9668,0.97832,0.89045,0.49415,0.42765,0.96373,0.0008911,0.0008911,0.0008911
13,3761.73,0.57795,0.4201,0.98792,0.98306,0.97843,0.9891,0.90717,0.45038,0.34595,0.95103,0.0008812,0.0008812,0.0008812
14,4049.78,0.58982,0.41338,1.00262,0.96271,0.9531,0.96829,0.8713,0.50497,0.43521,0.9671,0.0008713,0.0008713,0.0008713
15,4337.42,0.58791,0.41183,0.99296,0.98251,0.96869,0.97456,0.88174,0.49735,0.39132,0.96245,0.0008614,0.0008614,0.0008614
16,4624.25,0.58129,0.39157,1.00104,0.96418,0.96239,0.98718,0.90235,0.44221,0.38015,0.93591,0.0008515,0.0008515,0.0008515
17,4911.3,0.56188,0.37941,0.98008,0.99027,0.97566,0.98877,0.9129,0.43642,0.33107,0.94108,0.0008416,0.0008416,0.0008416
18,5198.33,0.57065,0.3846,0.98977,0.98545,0.96719,0.98696,0.91176,0.41845,0.34421,0.9258,0.0008317,0.0008317,0.0008317
19,5486.15,0.56379,0.37386,0.98647,0.97705,0.98089,0.98714,0.9224,0.40279,0.31334,0.91055,0.0008218,0.0008218,0.0008218
20,5773.7,0.55614,0.35903,0.97887,0.98377,0.98556,0.99064,0.93271,0.39979,0.28697,0.90977,0.0008119,0.0008119,0.0008119
21,6061.71,0.56534,0.36903,0.98405,0.97595,0.96792,0.98165,0.90978,0.44576,0.35095,0.92949,0.000802,0.000802,0.000802
22,6352.7,0.55033,0.36266,0.98542,0.98622,0.97235,0.98848,0.90991,0.45037,0.32481,0.92846,0.0007921,0.0007921,0.0007921
23,6640.88,0.55814,0.36375,0.98171,0.98357,0.97306,0.98299,0.9135,0.42541,0.33127,0.93073,0.0007822,0.0007822,0.0007822
24,6928.2,0.55711,0.3633,0.99049,0.98107,0.97356,0.99018,0.92263,0.42011,0.30756,0.91607,0.0007723,0.0007723,0.0007723
25,7215.16,0.54374,0.34549,0.96712,0.98986,0.97675,0.98935,0.92091,0.42743,0.2881,0.93332,0.0007624,0.0007624,0.0007624
26,7502.89,0.54161,0.35515,0.9691,0.98644,0.96389,0.98922,0.92638,0.41262,0.2968,0.92234,0.0007525,0.0007525,0.0007525
27,7790.53,0.53355,0.33696,0.96686,0.98929,0.9712,0.99014,0.93206,0.40136,0.30661,0.90302,0.0007426,0.0007426,0.0007426
28,8078.1,0.51228,0.32462,0.95374,0.99233,0.98267,0.9879,0.92556,0.41749,0.28028,0.91663,0.0007327,0.0007327,0.0007327
29,8367.26,0.52593,0.33016,0.96172,0.98746,0.98015,0.98737,0.91553,0.44042,0.27398,0.93385,0.0007228,0.0007228,0.0007228
30,8656.67,0.52925,0.32343,0.96539,0.99533,0.98159,0.98859,0.91766,0.42852,0.26515,0.935,0.0007129,0.0007129,0.0007129
31,8945.4,0.52983,0.33108,0.96735,0.98727,0.94976,0.98582,0.92355,0.42434,0.2994,0.93294,0.000703,0.000703,0.000703
32,9234.38,0.5113,0.31603,0.95574,0.97986,0.9705,0.99026,0.92837,0.40949,0.2821,0.91819,0.0006931,0.0006931,0.0006931
33,9522.03,0.52521,0.32539,0.9686,0.98608,0.97036,0.98984,0.91426,0.45866,0.30417,0.94025,0.0006832,0.0006832,0.0006832
34,9808.66,0.53092,0.31961,0.96821,0.97793,0.9711,0.98075,0.91123,0.42447,0.30698,0.92305,0.0006733,0.0006733,0.0006733
35,10095.2,0.52431,0.31922,0.96304,0.98822,0.97552,0.98825,0.9257,0.40389,0.27471,0.91222,0.0006634,0.0006634,0.0006634
36,10384.4,0.51592,0.31163,0.96713,0.98687,0.97584,0.99105,0.92971,0.40129,0.27318,0.9109,0.0006535,0.0006535,0.0006535
37,10672.5,0.51355,0.31008,0.95875,0.98639,0.96958,0.98977,0.93332,0.40015,0.27175,0.91308,0.0006436,0.0006436,0.0006436
38,10961.3,0.5201,0.31548,0.96063,0.9883,0.9815,0.98997,0.93079,0.39415,0.25342,0.90267,0.0006337,0.0006337,0.0006337
39,11250.6,0.5075,0.30508,0.95202,0.98663,0.97691,0.99044,0.93367,0.39771,0.26091,0.90561,0.0006238,0.0006238,0.0006238
40,11539.2,0.5395,0.31379,0.97292,0.98595,0.97903,0.98848,0.9301,0.4012,0.2528,0.91189,0.0006139,0.0006139,0.0006139
41,11827.2,0.51887,0.30388,0.95243,0.99212,0.98378,0.99031,0.9225,0.42066,0.25456,0.91795,0.000604,0.000604,0.000604
42,12114.3,0.50835,0.29907,0.95676,0.98209,0.96697,0.985,0.92826,0.38695,0.27463,0.89946,0.0005941,0.0005941,0.0005941
43,12400.3,0.50274,0.29855,0.95235,0.98736,0.97483,0.99084,0.93316,0.40244,0.24997,0.91022,0.0005842,0.0005842,0.0005842
44,12687.4,0.49985,0.29916,0.94998,0.98178,0.98145,0.99145,0.93572,0.39202,0.24584,0.90983,0.0005743,0.0005743,0.0005743
45,12974.8,0.4998,0.29447,0.9579,0.98334,0.97226,0.98604,0.92045,0.40228,0.27821,0.90828,0.0005644,0.0005644,0.0005644
46,13262.3,0.48941,0.29399,0.94891,0.98709,0.9832,0.98969,0.93253,0.3921,0.23978,0.91003,0.0005545,0.0005545,0.0005545
47,13551.8,0.49315,0.2882,0.9522,0.97583,0.97774,0.97928,0.92858,0.38324,0.2683,0.90115,0.0005446,0.0005446,0.0005446
48,13842.3,0.48117,0.28928,0.95333,0.99036,0.986,0.98945,0.93769,0.38134,0.23942,0.91038,0.0005347,0.0005347,0.0005347
49,14130.6,0.48992,0.28819,0.94767,0.98909,0.97467,0.99016,0.93254,0.38309,0.24295,0.8981,0.0005248,0.0005248,0.0005248
50,14418.2,0.48612,0.28016,0.94894,0.98949,0.96849,0.98926,0.93001,0.39261,0.25774,0.90764,0.0005149,0.0005149,0.0005149
51,14705.8,0.48888,0.28627,0.94813,0.98081,0.98065,0.98823,0.92773,0.39325,0.24638,0.90617,0.000505,0.000505,0.000505
52,14993.1,0.49037,0.28062,0.9454,0.99349,0.97447,0.99198,0.94113,0.39503,0.24101,0.90278,0.0004951,0.0004951,0.0004951
53,15280.4,0.47839,0.28338,0.9433,0.98236,0.97429,0.99129,0.93494,0.38473,0.2453,0.90423,0.0004852,0.0004852,0.0004852
54,15568.4,0.48687,0.27784,0.9511,0.96795,0.96985,0.98784,0.93224,0.37877,0.26636,0.8963,0.0004753,0.0004753,0.0004753
55,15855.6,0.47337,0.27347,0.94151,0.97916,0.97927,0.99237,0.9411,0.38692,0.23884,0.90078,0.0004654,0.0004654,0.0004654
56,16143.8,0.46797,0.27417,0.94449,0.99127,0.9767,0.99035,0.93945,0.38308,0.24096,0.89724,0.0004555,0.0004555,0.0004555
57,16432.5,0.47599,0.27242,0.94573,0.98655,0.9785,0.9916,0.93503,0.40176,0.22556,0.91766,0.0004456,0.0004456,0.0004456
58,16720.7,0.46855,0.26944,0.94303,0.99041,0.96988,0.99044,0.93157,0.40214,0.23788,0.91583,0.0004357,0.0004357,0.0004357
59,17008.9,0.47818,0.27462,0.94868,0.98983,0.97313,0.98969,0.93321,0.39455,0.22725,0.91431,0.0004258,0.0004258,0.0004258
60,17296.2,0.47784,0.27215,0.94781,0.99234,0.98034,0.99072,0.93443,0.3885,0.22437,0.90488,0.0004159,0.0004159,0.0004159
61,17582.7,0.46399,0.26431,0.94486,0.98095,0.97882,0.98822,0.93378,0.37994,0.2199,0.90676,0.000406,0.000406,0.000406
62,17870.1,0.45633,0.26379,0.93408,0.98777,0.98066,0.99011,0.93159,0.4006,0.23208,0.91586,0.0003961,0.0003961,0.0003961
63,18157.8,0.46854,0.26632,0.94602,0.98608,0.97054,0.98872,0.93755,0.37424,0.23608,0.90114,0.0003862,0.0003862,0.0003862
64,18446.1,0.45383,0.26016,0.9299,0.99019,0.97793,0.98685,0.93342,0.38071,0.2272,0.9061,0.0003763,0.0003763,0.0003763
65,18734.5,0.45695,0.2609,0.93599,0.9918,0.9752,0.98827,0.93742,0.37851,0.23093,0.89996,0.0003664,0.0003664,0.0003664
66,19023.5,0.46359,0.26343,0.94068,0.99009,0.97704,0.99013,0.94374,0.36818,0.22741,0.89412,0.0003565,0.0003565,0.0003565
67,19312.5,0.44422,0.25564,0.93053,0.98743,0.97964,0.99196,0.93731,0.38974,0.23318,0.901,0.0003466,0.0003466,0.0003466
68,19600,0.45171,0.25697,0.93877,0.99227,0.97588,0.98977,0.94198,0.36593,0.22296,0.8952,0.0003367,0.0003367,0.0003367
69,19886.6,0.46012,0.25946,0.93892,0.9848,0.9776,0.98892,0.93444,0.37693,0.24349,0.89728,0.0003268,0.0003268,0.0003268
70,20173.8,0.46043,0.25634,0.94047,0.98751,0.97966,0.9917,0.93666,0.38588,0.22335,0.89843,0.0003169,0.0003169,0.0003169
71,20461.7,0.43925,0.25003,0.93013,0.98419,0.97451,0.99134,0.94223,0.37044,0.22794,0.89804,0.000307,0.000307,0.000307
72,20749.5,0.44521,0.24858,0.93209,0.98992,0.97647,0.99136,0.94192,0.372,0.2121,0.89833,0.0002971,0.0002971,0.0002971
73,21037.7,0.44248,0.24887,0.92536,0.98927,0.97748,0.99189,0.93867,0.38613,0.21451,0.90484,0.0002872,0.0002872,0.0002872
74,21326.2,0.45328,0.24917,0.93809,0.99375,0.96879,0.99159,0.94312,0.37073,0.21333,0.90128,0.0002773,0.0002773,0.0002773
75,21614.3,0.44084,0.24612,0.93393,0.99232,0.97236,0.99135,0.94487,0.37336,0.21767,0.90036,0.0002674,0.0002674,0.0002674
76,21903.4,0.43397,0.23947,0.92524,0.99187,0.9771,0.99242,0.94021,0.38803,0.22204,0.90578,0.0002575,0.0002575,0.0002575
77,22190.4,0.44223,0.24724,0.93115,0.99155,0.97601,0.99112,0.9416,0.37459,0.21417,0.9027,0.0002476,0.0002476,0.0002476
78,22477.7,0.43515,0.24447,0.92708,0.99186,0.9773,0.99183,0.94218,0.37048,0.20621,0.89912,0.0002377,0.0002377,0.0002377
79,22765.1,0.4352,0.24174,0.92584,0.9908,0.97879,0.99107,0.93541,0.3869,0.20117,0.91055,0.0002278,0.0002278,0.0002278
