epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.338,0.65269,1.79272,1.09009,0.96221,0.89246,0.98185,0.90935,0.38475,2.36125,0.91893,0.000466993,0.000466993,0.000466993
2,300.058,0.62531,1.06414,1.05835,0.87684,0.94139,0.95744,0.85342,0.48437,1.67731,0.96305,0.000933988,0.000933988,0.000933988
3,445.045,0.66643,0.95822,1.07241,0.95221,0.94312,0.95668,0.85974,0.51542,1.18099,1.00527,0.00139155,0.00139155,0.00139155
4,590.219,0.63316,0.81684,1.04592,0.93389,0.94929,0.97904,0.85923,0.55178,1.13784,1.00705,0.00138656,0.00138656,0.00138656
5,735.289,0.64411,0.79849,1.06933,0.98275,0.98359,0.98867,0.91658,0.41175,0.66918,0.91924,0.00137241,0.00137241,0.00137241
6,880.781,0.63411,0.71819,1.07081,0.90785,0.9232,0.95689,0.88345,0.43194,0.92043,0.92278,0.00135826,0.00135826,0.00135826
7,1027.28,0.59625,0.61495,1.03076,0.96745,0.95444,0.98381,0.91852,0.36985,0.62459,0.90683,0.00134412,0.00134412,0.00134412
8,1173.14,0.57936,0.5375,1.01011,0.97729,0.9519,0.97909,0.91599,0.38863,0.55978,0.90145,0.00132997,0.00132997,0.00132997
9,1317.95,0.57882,0.52475,1.02705,0.7753,0.85535,0.88644,0.80976,0.42016,1.09634,0.92128,0.00131582,0.00131582,0.00131582
10,1463.9,0.56341,0.47692,1.01348,0.96404,0.96975,0.98302,0.91267,0.37108,0.45063,0.89442,0.00130168,0.00130168,0.00130168
11,1609.74,0.58252,0.51174,1.01886,0.90666,0.91963,0.98181,0.92263,0.40219,0.58115,0.9091,0.00128753,0.00128753,0.00128753
12,1755.32,0.58073,0.47305,1.00833,0.99841,0.97171,0.98868,0.93371,0.33954,0.36497,0.87932,0.00127338,0.00127338,0.00127338
13,1900.7,0.5552,0.4452,1,0.95383,0.95105,0.97442,0.91299,0.38466,0.45911,0.89618,0.00125923,0.00125923,0.00125923
14,2046.39,0.53895,0.43698,0.99465,0.98726,0.98016,0.99148,0.90278,0.46526,0.36957,0.92456,0.00124509,0.00124509,0.00124509
15,2192.85,0.5641,0.43987,1.00692,0.98225,0.94302,0.96691,0.91832,0.35573,0.44718,0.88711,0.00123094,0.00123094,0.00123094
16,2337.89,0.52105,0.40327,0.98415,0.99589,0.96493,0.98919,0.9176,0.36287,0.33947,0.89534,0.00121679,0.00121679,0.00121679
17,2484.99,0.55417,0.41995,1.00806,0.9722,0.9562,0.98132,0.92777,0.35551,0.36871,0.87495,0.00120265,0.00120265,0.00120265
18,2632.09,0.53904,0.39759,0.99753,0.98307,0.9844,0.99108,0.94441,0.32481,0.31569,0.86211,0.0011885,0.0011885,0.0011885
19,2779.67,0.53287,0.39184,0.98732,0.96036,0.96198,0.97582,0.94199,0.28759,0.34873,0.84266,0.00117435,0.00117435,0.00117435
20,2925.92,0.51462,0.37182,0.98818,0.94162,0.92179,0.97474,0.91983,0.35542,0.40669,0.87505,0.00116021,0.00116021,0.00116021
21,3073.04,0.51629,0.35775,0.9895,0.98759,0.96101,0.98714,0.94285,0.3266,0.32191,0.85963,0.00114606,0.00114606,0.00114606
22,3219.78,0.51129,0.3448,0.98257,0.98124,0.99032,0.99088,0.93303,0.36923,0.28343,0.87902,0.00113191,0.00113191,0.00113191
23,3367.53,0.51013,0.34019,0.98862,0.98919,0.99206,0.99123,0.94377,0.34899,0.27238,0.87547,0.00111776,0.00111776,0.00111776
24,3514.94,0.52262,0.35662,0.97901,0.99272,0.98559,0.98839,0.93209,0.34522,0.28501,0.87152,0.00110362,0.00110362,0.00110362
25,3661.16,0.49869,0.35565,0.98715,0.96841,0.95281,0.98556,0.93667,0.32872,0.3259,0.86202,0.00108947,0.00108947,0.00108947
26,3807.29,0.52082,0.41863,0.98999,0.9903,0.96991,0.98943,0.94782,0.34817,0.29764,0.87352,0.00107532,0.00107532,0.00107532
27,3953.05,0.50836,0.38327,0.97178,0.97586,0.98804,0.98946,0.94686,0.33012,0.26176,0.8694,0.00106118,0.00106118,0.00106118
28,4098.64,0.49518,0.32951,0.97735,0.97446,0.9607,0.97289,0.92883,0.334,0.32717,0.86627,0.00104703,0.00104703,0.00104703
29,4243.92,0.50829,0.32902,0.97541,0.98561,0.97361,0.98999,0.95577,0.30943,0.26528,0.85904,0.00103288,0.00103288,0.00103288
30,4388.88,0.52651,0.33008,0.98169,0.98643,0.96491,0.98777,0.93659,0.36534,0.26921,0.88427,0.00101873,0.00101873,0.00101873
31,4533.78,0.49972,0.32557,0.98014,0.983,0.97659,0.98907,0.95393,0.32876,0.24874,0.85934,0.00100459,0.00100459,0.00100459
32,4683.01,0.48227,0.31626,0.9679,0.95496,0.94474,0.95797,0.92923,0.28562,0.32541,0.84644,0.00099044,0.00099044,0.00099044
33,4827.27,0.49262,0.32836,0.96547,0.98178,0.95535,0.97509,0.92459,0.36369,0.32682,0.88985,0.000976293,0.000976293,0.000976293
34,4971.76,0.52412,0.33458,0.97813,0.9791,0.9825,0.9872,0.9491,0.31795,0.26071,0.85437,0.000962146,0.000962146,0.000962146
35,5115.66,0.49892,0.3241,0.98375,0.98235,0.99206,0.98912,0.94571,0.33519,0.25442,0.86844,0.000947999,0.000947999,0.000947999
36,5259.91,0.50449,0.31036,0.98112,0.90013,0.91631,0.94138,0.89392,0.3453,0.40475,0.87508,0.000933851,0.000933851,0.000933851
37,5403.95,0.49391,0.31357,0.98173,0.95879,0.95467,0.97799,0.94763,0.29735,0.30566,0.84506,0.000919704,0.000919704,0.000919704
38,5548.09,0.48675,0.31675,0.97035,0.99109,0.98863,0.98967,0.9537,0.33454,0.24445,0.86912,0.000905557,0.000905557,0.000905557
39,5691.74,0.47665,0.3027,0.97147,0.97851,0.98051,0.98896,0.95116,0.32398,0.24783,0.86091,0.00089141,0.00089141,0.00089141
40,5834.94,0.48273,0.31155,0.97115,0.97635,0.94739,0.98836,0.96036,0.31481,0.27071,0.85785,0.000877263,0.000877263,0.000877263
41,5978.64,0.46526,0.28893,0.96037,0.98557,0.99206,0.98896,0.95966,0.28957,0.24111,0.84411,0.000863116,0.000863116,0.000863116
42,6122.41,0.46651,0.29376,0.96704,0.99422,0.98954,0.9895,0.95915,0.31785,0.21917,0.86248,0.000848969,0.000848969,0.000848969
43,6265.9,0.49398,0.30102,0.9777,0.9946,0.98612,0.98931,0.94503,0.36927,0.23516,0.88024,0.000834822,0.000834822,0.000834822
44,6410.06,0.4595,0.28942,0.95688,0.9816,0.97084,0.99144,0.95093,0.33956,0.25653,0.86644,0.000820675,0.000820675,0.000820675
45,6557.68,0.47239,0.28646,0.96247,0.98497,0.99206,0.99176,0.95575,0.31582,0.2187,0.85508,0.000806528,0.000806528,0.000806528
46,6701.21,0.4722,0.2983,0.95826,0.97664,0.97943,0.9894,0.95723,0.30432,0.23622,0.85226,0.00079238,0.00079238,0.00079238
47,6844.78,0.46431,0.29424,0.96323,0.98961,0.98417,0.99086,0.95367,0.32257,0.21713,0.86226,0.000778233,0.000778233,0.000778233
48,6988.54,0.45987,0.28813,0.954,0.98398,0.97338,0.98994,0.96517,0.29897,0.22016,0.85098,0.000764086,0.000764086,0.000764086
49,7132.34,0.47546,0.2896,0.96808,0.97773,0.95983,0.98824,0.95968,0.3016,0.25966,0.85053,0.000749939,0.000749939,0.000749939
50,7276.09,0.46561,0.28166,0.95385,0.9948,0.9869,0.99012,0.96623,0.30681,0.20044,0.85789,0.000735792,0.000735792,0.000735792
51,7419.69,0.46037,0.2841,0.96011,0.99547,0.98504,0.99014,0.96317,0.30797,0.20424,0.85521,0.000721645,0.000721645,0.000721645
52,7563.35,0.48249,0.2864,0.98146,0.99263,0.98839,0.98991,0.9624,0.30489,0.20685,0.85465,0.000707498,0.000707498,0.000707498
53,7707.57,0.47059,0.28212,0.97017,0.99214,0.98863,0.99006,0.95618,0.32389,0.1977,0.85136,0.000693351,0.000693351,0.000693351
54,7852.1,0.48619,0.30206,0.9958,0.99115,0.98114,0.99027,0.95983,0.30778,0.19278,0.85128,0.000679204,0.000679204,0.000679204
55,7996.26,0.42967,0.26066,0.93663,0.98915,0.96726,0.98811,0.95175,0.3043,0.21511,0.84872,0.000665057,0.000665057,0.000665057
56,8140.47,0.43805,0.35405,0.9465,0.96099,0.97311,0.98245,0.95072,0.32066,0.24604,0.85905,0.000650909,0.000650909,0.000650909
57,8284.59,0.46077,0.27696,0.95807,0.97465,0.99081,0.9896,0.95936,0.31285,0.22024,0.8562,0.000636762,0.000636762,0.000636762
58,8428.5,0.44515,0.27246,0.95295,0.9855,0.98889,0.99071,0.96215,0.29256,0.20285,0.84299,0.000622615,0.000622615,0.000622615
59,8572.55,0.43415,0.25412,0.94503,0.98445,0.9784,0.99014,0.96297,0.308,0.20699,0.85005,0.000608468,0.000608468,0.000608468
60,8716.42,0.44066,0.26541,0.9541,0.98183,0.98996,0.99038,0.96004,0.30844,0.19815,0.85552,0.000594321,0.000594321,0.000594321
61,8860.47,0.43815,0.2576,0.96291,0.9925,0.99107,0.9895,0.96344,0.30419,0.1904,0.85333,0.000580174,0.000580174,0.000580174
62,9004.34,0.44715,0.27147,0.95567,0.98764,0.99003,0.99081,0.9539,0.32238,0.19253,0.85599,0.000566027,0.000566027,0.000566027
63,9148.11,0.43226,0.26374,0.93939,0.98449,0.98614,0.99088,0.96171,0.31097,0.18735,0.85395,0.00055188,0.00055188,0.00055188
64,9292.15,0.42461,0.25215,0.94582,0.97991,0.98825,0.9912,0.96546,0.29611,0.20156,0.85155,0.000537733,0.000537733,0.000537733
65,9436.12,0.43266,0.25515,0.94945,0.98904,0.97998,0.99087,0.95464,0.32965,0.20115,0.8632,0.000523586,0.000523586,0.000523586
66,9580.14,0.43131,0.2559,0.945,0.98774,0.98454,0.99019,0.95678,0.31486,0.20067,0.85126,0.000509438,0.000509438,0.000509438
67,9723.71,0.43151,0.24541,0.95146,0.98175,0.98415,0.99089,0.96556,0.28556,0.20079,0.84084,0.000495291,0.000495291,0.000495291
